Doc-ID,Token-Count,Sentence-Count,Initial-Cas-bytes
144399526,127,3,17043
144410111,137,6,18148
144441151,202,10,23978
14445177,39,2,9483
144472447,109,1,15299
144486299,199,6,23528
1445163,209,8,24621
14451773,230,7,26462
14452014,117,8,16667
144550711,136,3,17837
14458203,39,2,9504
144588217,493,15,50080
144593785,233,7,26614
144617759,143,4,18460
14463276,174,7,21584
14467294,213,13,25449
144685610,188,7,22542
144703040,34,1,8965
144724788,220,7,25389
144726989,191,5,22666
14475111,160,5,20134
144757478,502,18,50615
144766267,148,6,18980
14477133,315,7,33490
144792395,281,12,31349
14480215,175,7,21481
14481248,151,7,19483
14481498,38,2,9403
144877621,158,4,19744
14488832,243,9,27760
144892715,142,8,18700
14498525,51,2,10494
144993965,242,9,27444
145001114,98,3,14537
1451173,361,9,38097
14517397,257,11,28923
145184009,91,4,14042
14520227,208,9,24778
145245948,274,6,30156
14524966,236,9,26869
14527898,174,6,21446
14528412,206,9,24355
14528770,284,10,31449
145294613,80,5,13164
145436173,89,2,13787
145511964,224,6,25593
14552104,264,9,29561
14553091,156,7,19982
14553540,133,6,17801
14555366,97,5,14596
145625396,428,15,44416
145635124,205,6,24004
145673954,125,2,16810
145690576,100,4,14793
14569269,97,2,14358
14570059,98,4,14662
14570155,182,6,21913
145727,292,12,32172
14573527,194,8,23352
145754792,45,2,9960
145756735,168,5,20695
14575987,243,10,27689
14579150,123,5,16862
145813625,336,8,35587
145829221,288,11,31563
1458527,177,7,21726
145853535,196,8,23572
145863253,100,5,14928
14586766,157,7,19968
14586898,150,3,19005
14588061,198,7,23577
145890476,208,8,24634
145907781,173,5,21200
14591361,254,8,28502
145925050,119,4,16490
14592861,124,5,16980
145941067,154,8,19716
145943685,160,5,20155
145958413,135,4,17820
14597215,74,3,12524
145972303,190,9,22993
14599233,155,7,19801
145997692,193,8,23265
146008409,215,12,25521
146012957,98,4,14692
146033752,162,8,20480
14605327,353,19,36624
14605865,63,2,11457
14608315,50,3,10469
146091717,117,5,16445
146104123,131,4,17464
14610574,270,10,30074
146111596,182,8,22356
14635193,206,11,24636
1463814,203,6,24031
14641671,38,2,9404
14644460,100,5,14989
14645111,47,2,10143
146462131,353,13,37548
14647426,201,8,23841
14650237,42,2,9711
14654913,276,10,30583
14655810,105,4,15300
1465763,327,9,34900
14659681,73,3,12452
14670039,191,7,23001
1467416,131,6,17630
14674168,44,2,9866
146807077,195,8,23543
14685016,106,5,15519
14690291,148,6,19158
14695654,158,5,19902
146988775,218,7,25359
146997092,489,14,49603
1470055,240,9,27418
14701495,243,10,27730
1470207,181,4,21707
14703237,140,5,18358
14704076,153,5,19487
14704970,206,10,24518
14706399,69,2,11852
14712930,247,9,27938
147166321,216,7,25149
14717083,64,2,11556
14718620,147,4,18951
14721384,87,3,13708
14726479,99,4,14813
14728946,274,15,30899
14729036,91,3,13886
14740584,264,7,29490
14740668,225,8,26093
1474962,213,7,24816
14751806,31,1,8652
147549217,262,13,29564
14755017,236,10,27123
1475940,136,6,18123
14759503,237,11,27443
14759820,303,11,32988
14761827,69,3,12106
14771443,145,7,19001
14802361,208,9,24598
14813074,222,8,25755
1481439,164,4,20397
14817415,174,7,21406
1481972,241,11,27739
14821171,104,5,15293
14829770,160,6,20308
14831037,209,8,24645
14835446,254,9,28703
14839105,209,5,24201
148396653,244,9,27867
14843868,262,10,29483
14846042,137,2,17822
1484657,38,2,9374
148465817,171,4,21052
14847635,105,4,15255
148572270,221,8,25600
14862708,86,6,13815
14863683,35,1,9073
14865924,320,4,33455
14877111,152,11,19849
148852732,275,12,30766
14885788,154,6,19722
14887477,179,7,21947
14890805,125,7,17242
14892587,92,5,14268
14894717,55,2,10834
148957235,187,4,22241
14896896,252,9,28440
14899605,122,5,16801
14902029,56,2,10912
14909323,212,8,24996
1491529,212,8,24974
1492171,179,5,21655
14922778,163,6,20396
14923477,241,9,27359
14927407,287,8,31510
14927937,106,5,15415
14931217,193,6,22851
149327515,142,6,18638
14936142,227,14,26601
14937079,200,6,23828
14938103,163,5,20374
149447051,169,6,20810
14945974,257,11,29038
149463241,142,6,18520
149497017,54,2,10732
14950182,124,5,16991
14956858,58,3,11131
14960406,280,12,30991
1496051,55,3,10860
14961311,84,4,13483
149615198,179,7,21803
14965838,82,5,13359
149662216,199,8,23808
149673700,100,5,14903
14975651,292,11,32049
149772771,213,8,24932
14977935,164,9,20618
149802796,230,9,26683
14988094,133,7,17890
14990182,26,1,8325
14996938,305,22,32849
14999170,309,10,33522
149996759,77,2,12689
15001222,64,2,11504
15002247,56,2,10875
15008529,203,8,24210
15009196,175,7,21603
150112006,97,4,14538
15015620,223,9,25846
15017640,155,8,19776
150182128,219,11,25753
15026572,263,10,29594
150282102,83,4,13399
15029935,209,8,24608
150332832,87,3,13636
15036965,96,4,14569
15037751,188,6,22615
1504448,256,8,28288
15047627,85,4,13660
15047632,209,8,24605
15058009,213,7,24846
150630886,439,17,45085
15068667,167,8,20973
15078567,181,8,22092
15080994,187,6,22517
15091518,212,9,24987
15095516,221,9,25823
1510106,70,2,12166
15105513,298,11,32637
15110966,73,3,12472
15113639,203,11,24472
15115493,112,4,15931
15123134,65,3,11728
15132990,263,12,29817
15147420,286,10,31244
151480999,114,4,16051
15148792,426,15,44196
15148874,52,2,10591
151559169,149,7,19309
151569708,231,7,26465
15159311,63,3,11553
151600527,325,10,34714
15161909,176,7,21651
15170046,104,2,14985
15174927,124,5,16867
151755433,328,10,35090
15176417,172,6,21145
15177320,176,6,21559
15180246,167,5,20708
151822866,168,6,20804
15182433,68,2,11871
15183394,166,11,20961
151894015,335,19,36456
1519390,173,5,21314
15201187,217,7,25204
152079524,349,8,36961
152090307,151,4,19200
15211820,293,11,32125
15215677,254,8,28557
15215800,52,3,10633
15221911,64,3,11660
1522523,480,17,49131
15225825,288,10,31804
152264589,433,18,45112
152341104,142,3,18424
15235935,146,5,18953
15236721,123,5,16845
15237173,173,8,21361
152387094,159,7,20146
15238822,201,9,23915
152414472,494,15,50106
15243472,82,6,13408
152529480,130,6,17548
